application_id,application_channel,product_applied,requested_limit,city_tier,state,residence_type,residence_stability,existing_bank_rel,num_existing_products,preferred_lang,employer_category,employment_type,years_in_current_job,total_work_exp_years,gross_annual_income,net_monthly_income,income_proof_type,income_verified_flag,salary_account_flag,avg_monthly_credit,income_stability_score,employer_stability_score,bureau_score,bureau_score_vintage,num_active_loans,num_active_cards,num_closed_loans,total_active_balance,total_credit_limit_bureau,bureau_utilization,credit_age_oldest,credit_age_newest,credit_age_avg,num_inquiries_1m,num_inquiries_3m,num_inquiries_6m,dpd_30_ever,dpd_60_ever,dpd_90_ever,written_off_ever,settled_ever,num_delinquent_now,home_loan_flag,home_loan_emi,personal_loan_flag,personal_loan_emi,auto_loan_flag,auto_loan_emi,total_existing_emi,foir,num_credit_cards_existing,total_card_limit_existing,banking_vintage_months,avg_monthly_balance,min_monthly_balance,balance_stability,fixed_deposit_flag,fd_amount,investment_flag,premium_banking_flag,internal_app_score,bureau_score_segment,debt_to_income_ratio,repayment_capacity,leverage_ratio,credit_to_income,payment_track_score,relationship_score,fraud_risk_score,policy_override_flag,approved,credit_limit_assigned
300001,Online,Platinum,75000,Tier1,Others,Rented,63,1,2,Hindi,SME,Salaried,8.9,10.5,1968717,130786,Form16,0,1,128324,89.3,63.9,847,43,3,3,6,3753312,1890946,1.5,129,27,78,2,2,3,0,0,0,0,0,0,0,0,0,0,1,3865,3865,0.03,0,0,76,387187,293486,0.842,0,0,1,0,695.8,Excellent,1.906,0.97,1.906,0.96,0.804,0.84,9.1,0,1,75000
300002,DSA,Platinum,25000,Tier2,UP,Rented,14,1,2,Hindi,Self-Employed,Self-Employed,2.4,5.8,2330340,147588,ITR,1,1,159070,92.8,73.3,380,27,0,2,6,4546378,1230557,1.5,129,18,73,3,5,8,1,0,0,1,0,0,0,0,1,17196,0,0,17196,0.117,1,25059,71,2722,1514,0.37,1,444066,1,0,5.8,Very Poor,1.951,0.883,1.951,0.528,0.427,0.845,5.5,0,0,0
300003,Online,Gold,75000,Tier3,DL,Owned,25,0,0,English,Large-Private,Business-Owner,11.4,11.9,3735972,216871,Bank-Statement,1,1,214654,83.0,58.5,841,16,4,4,5,1399753,1318680,1.061,42,2,22,2,4,5,1,0,0,0,0,2,0,0,1,5151,1,22479,27630,0.127,2,291875,0,0,0,0.0,0,0,1,0,238.6,Excellent,0.375,0.873,0.375,0.353,0.216,0.148,3.2,0,0,0
300004,Online,Gold,100000,Tier2,TN,Owned,62,1,1,Regional,PSU,Business-Owner,0.1,1.3,1310604,78837,Form16,1,1,83954,66.3,95.7,663,56,5,2,9,2177524,1559651,1.396,214,23,118,2,4,5,0,1,0,0,0,1,1,11210,0,0,0,0,11210,0.142,4,397552,92,35511,15645,0.668,0,0,0,0,41.8,Fair,1.661,0.858,1.661,1.19,0.819,0.627,11.1,0,0,0
300005,Online,Gold,100000,Tier1,KA,Rented,100,0,0,Hindi,Large-Private,Professional,3.1,5.0,4220567,259133,Form16,1,1,277298,88.5,36.4,521,35,3,0,5,198761,292698,0.679,176,2,89,1,1,2,0,1,0,0,0,1,0,0,1,23721,0,0,23721,0.092,0,0,0,0,0,0.0,1,39131,1,0,895.1,Very Poor,0.047,0.908,0.047,0.069,0.284,0.233,9.3,0,1,70000
300006,DSA,Classic,25000,Tier1,MH,Family-owned,23,1,4,Hindi,SME,Salaried,0.2,2.3000000000000003,1144856,71383,ITR,1,1,77697,79.9,69.9,506,55,3,1,3,2619091,1679551,1.5,133,29,81,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,4,227119,15,52054,21270,0.543,0,0,0,0,325.0,Very Poor,2.288,1.0,2.288,1.467,0.879,0.824,2.9,0,0,0
300007,Branch,Platinum,300000,Tier3,WB,Rented,107,1,3,Regional,Gig,Salaried,8.8,15.0,4658607,302921,CA-Certificate,1,0,37606,90.1,43.6,771,23,1,1,4,2442343,741806,1.5,131,28,79,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,4,343475,20,119407,56037,0.804,0,0,1,0,373.8,Good,0.524,1.0,0.524,0.159,0.63,0.748,0.5,0,1,190000
300008,DSA,Classic,25000,Tier2,MH,Rented,115,1,1,Hindi,Self-Employed,Salaried,1.5,2.0,1926670,109703,ITR,1,1,119907,84.1,92.0,618,6,7,2,5,2461450,119311,1.5,34,9,21,2,5,8,0,1,1,0,0,1,0,0,1,15613,0,0,15613,0.142,2,153183,43,248870,145901,0.769,0,0,0,0,559.8,Poor,1.278,0.858,1.278,0.062,0.664,0.591,14.2,0,1,140000
300009,DSA,Platinum,150000,Tier3,GJ,Rented,54,0,0,Hindi,PSU,Salaried,7.9,9.1,1411199,79876,Form16,1,1,86986,49.2,61.7,300,18,7,2,6,3983086,706868,1.5,187,18,102,3,6,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,2,429384,0,0,0,0.0,1,784522,0,0,789.3,Very Poor,2.822,1.0,2.822,0.501,0.95,0.367,6.8,0,0,0
300010,Online,Classic,75000,Tier1,MH,Family-owned,78,1,3,Hindi,Large-Private,Self-Employed,5.3,8.9,1673319,106522,Bank-Statement,1,1,109725,44.1,58.9,763,59,4,0,3,2684130,1960366,1.369,223,22,122,4,8,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,3,87485,19,451833,326582,0.595,0,0,1,0,499.1,Good,1.604,1.0,1.604,1.172,0.566,0.847,3.3,0,1,30000
300011,Online,Gold,100000,Tier1,AP,Family-owned,91,1,2,Hindi,Self-Employed,Self-Employed,5.1,5.8,2154699,121578,None,1,1,111480,74.8,52.9,378,11,7,1,0,1003145,1332645,0.753,75,29,52,0,1,2,1,0,0,0,0,2,0,0,1,6377,0,0,6377,0.052,1,362103,102,390206,198514,0.568,1,669101,0,0,775.9,Very Poor,0.466,0.948,0.466,0.618,0.07,0.442,3.4,1,1,20000
300012,Branch,Platinum,100000,Tier1,DL,Rented,112,1,3,Regional,Large-Private,Salaried,1.6,2.5,3259268,198810,ITR,0,1,193851,85.6,54.3,448,32,7,2,4,2068229,1224983,1.5,65,33,49,0,4,8,0,0,1,0,0,1,0,0,0,0,1,20236,20236,0.102,1,269137,45,210620,91199,0.854,0,0,0,0,143.6,Very Poor,0.635,0.898,0.635,0.376,0.876,0.521,2.3,0,0,0
300013,Branch,Classic,25000,Tier3,UP,Rented,34,0,0,Regional,PSU,Self-Employed,16.0,17.9,1681429,97472,ITR,1,1,101084,45.9,46.5,388,8,6,2,6,4790231,1633466,1.5,99,3,51,1,4,8,0,1,0,0,0,0,1,41651,1,28730,1,11037,81418,0.835,3,304021,0,0,0,0.0,0,0,0,1,648.6,Very Poor,2.849,0.165,2.849,0.971,0.742,0.353,0.2,0,0,0
300014,Online,Platinum,100000,Tier1,UP,Family-owned,12,0,0,Hindi,PSU,Self-Employed,0.1,7.8,1305289,78146,Bank-Statement,0,0,34567,87.5,63.8,690,33,5,1,1,1022787,66767,1.5,44,32,38,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,466074,0,0,0,0.0,0,0,0,0,728.3,Fair,0.784,1.0,0.784,0.051,0.139,0.299,7.8,0,0,0
300015,Online,Signature,50000,Tier3,Others,Family-owned,91,1,2,Hindi,Self-Employed,Self-Employed,4.7,7.2,3917631,241734,Form16,1,1,239776,70.1,68.9,467,36,1,1,9,4287931,799325,1.5,47,21,34,3,5,7,0,0,0,0,0,2,1,62996,1,13683,0,0,76679,0.317,4,87857,20,473784,357002,0.906,0,0,1,1,722.8,Very Poor,1.095,0.683,1.095,0.204,0.936,0.895,9.3,0,0,0
300016,DSA,Platinum,150000,Tier3,MH,Rented,51,1,2,English,Large-Private,Salaried,3.8,4.6,4853355,319399,Bank-Statement,1,1,327331,78.2,63.8,484,25,5,2,1,3285113,1424485,1.5,140,6,73,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,241002,34,89214,63036,0.316,0,0,0,0,814.7,Very Poor,0.677,1.0,0.677,0.294,0.904,0.833,2.7,0,1,500000
300017,Branch,Platinum,50000,Tier2,UP,Owned,110,1,1,Regional,PSU,Self-Employed,0.8,2.8,2059230,131551,Form16,0,1,141048,42.9,51.4,652,43,6,0,1,496922,578262,0.859,166,8,87,4,8,11,0,0,0,0,0,0,1,63014,0,0,1,24187,87201,0.663,3,144256,13,250883,189596,0.41,0,0,0,1,951.4,Fair,0.241,0.337,0.241,0.281,0.687,0.74,8.2,0,0,0
300018,Branch,Classic,150000,Tier3,UP,Family-owned,119,1,4,Hindi,Large-Private,Salaried,16.3,16.5,1877979,112126,ITR,1,0,45581,83.8,22.6,756,6,4,1,2,3186696,1129877,1.5,219,9,114,3,6,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1,2996,63,255749,126639,0.679,0,0,0,0,419.0,Good,1.697,1.0,1.697,0.602,0.226,0.641,8.6,0,1,40000
300019,Online,Platinum,50000,Tier3,KA,Owned,22,0,0,Regional,Large-Private,Salaried,2.5,7.3,3681571,225889,Form16,1,1,216202,79.7,68.4,584,25,1,4,2,4308347,1935906,1.5,187,23,105,1,2,3,0,0,0,0,0,1,1,6030,1,7885,0,0,13915,0.062,2,199088,0,0,0,0.0,0,0,1,0,3.1,Poor,1.17,0.938,1.17,0.526,0.507,0.299,4.7,0,1,330000
300020,DSA,Classic,100000,Tier1,AP,Rented,58,1,1,Hindi,Large-Private,Salaried,6.4,6.6000000000000005,2488376,137756,None,1,0,30411,69.5,79.8,316,41,4,3,1,3576344,724347,1.5,148,4,76,3,7,9,0,0,1,0,0,1,0,0,1,6467,1,15670,22137,0.161,2,440202,109,423347,334515,0.574,1,847316,1,1,431.0,Very Poor,1.437,0.839,1.437,0.291,0.904,0.43,1.3,0,0,0
300021,Branch,Classic,50000,Tier3,WB,Owned,15,1,4,English,Self-Employed,Salaried,0.0,1.5,4086139,241544,Form16,1,1,219063,70.6,65.9,493,47,3,0,3,2302423,807349,1.5,170,33,101,2,2,2,0,0,0,0,0,0,0,0,1,22154,0,0,22154,0.092,1,233929,13,209293,79077,0.359,0,0,0,0,325.4,Very Poor,0.563,0.908,0.563,0.198,0.81,0.746,15.6,0,0,0
300022,Online,Classic,50000,Tier2,Others,Rented,20,1,3,Hindi,PSU,Salaried,1.2,4.9,4094962,264269,Bank-Statement,1,0,14217,77.0,41.2,498,31,1,2,4,4982133,560902,1.5,218,19,118,2,3,3,0,1,1,0,0,0,1,29671,1,11633,0,0,41304,0.156,2,447385,9,13257,10111,0.858,0,0,0,0,237.6,Very Poor,1.217,0.844,1.217,0.137,0.689,0.729,7.3,0,0,0
300023,Branch,Gold,75000,Tier1,WB,Company-provided,75,1,2,Hindi,PSU,Business-Owner,3.2,5.7,2511835,151412,ITR,1,0,10655,48.2,76.9,413,10,6,4,8,4279644,122103,1.5,65,3,34,3,3,7,1,0,0,1,0,2,0,0,0,0,0,0,0,0.0,0,0,105,492037,164634,0.311,0,0,0,1,744.6,Very Poor,1.704,1.0,1.704,0.049,0.144,0.908,5.7,0,0,0
300024,DSA,Classic,100000,Tier2,DL,Owned,101,1,3,English,Govt,Salaried,1.5,3.5,3846653,211669,Form16,1,1,209812,53.8,75.4,554,45,1,3,0,3048267,1919128,1.5,108,25,66,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,3,381319,78,116711,60222,0.394,0,0,0,0,506.4,Poor,0.792,1.0,0.792,0.499,0.955,0.734,2.1,0,1,315000
300025,Pre-approved,Gold,25000,Tier1,RJ,Rented,40,0,0,Hindi,Large-Private,Salaried,0.8,2.1,3354440,217850,Bank-Statement,1,1,202483,72.3,40.0,360,16,5,0,0,1105457,949196,1.165,124,31,77,2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,165052,0,0,0,0.0,1,465339,0,0,918.6,Very Poor,0.33,1.0,0.33,0.283,0.739,0.435,5.7,0,0,0
300026,Branch,Gold,25000,Tier3,TN,Owned,67,0,0,English,Self-Employed,Salaried,7.2,12.4,4478917,279807,Form16,1,1,286616,42.8,64.5,434,46,1,2,0,4937344,1873754,1.5,133,14,73,1,2,3,0,0,0,0,0,1,1,49040,0,0,0,0,49040,0.175,0,0,0,0,0,0.0,0,0,0,1,623.5,Very Poor,1.102,0.825,1.102,0.418,0.865,0.205,6.4,0,1,490000
300027,Pre-approved,Platinum,300000,Tier1,Others,Company-provided,62,0,0,English,Large-Private,Self-Employed,7.9,8.9,2259656,147666,ITR,0,1,133441,73.4,62.4,607,39,3,0,1,3283159,419362,1.5,215,6,110,1,5,5,1,0,0,0,0,0,1,19126,1,18928,0,0,38054,0.258,0,0,0,0,0,0.0,0,0,0,0,138.0,Poor,1.453,0.742,1.453,0.186,0.125,0.458,19.8,0,1,155000
300028,Branch,Gold,300000,Tier1,Others,Rented,75,1,1,Hindi,PSU,Business-Owner,1.8,4.5,538420,32201,ITR,0,0,26705,55.0,67.6,360,47,2,3,6,884822,1426468,0.62,210,34,122,4,7,9,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,2,398110,93,36072,26235,0.394,0,0,0,0,636.2,Very Poor,1.643,1.0,1.643,2.649,0.397,0.679,2.0,0,0,0
300029,DSA,Gold,300000,Tier2,GJ,Rented,41,0,0,Hindi,SME,Salaried,7.2,8.1,4223288,271260,Form16,1,1,268812,76.1,45.2,763,10,4,1,6,788428,473154,1.5,20,34,27,0,3,3,1,1,0,0,1,2,0,0,0,0,1,6725,6725,0.025,3,448693,0,0,0,0.0,0,0,0,0,35.7,Good,0.187,0.975,0.187,0.112,0.206,0.18,3.3,0,0,0
